b,Etr_init_K,Er1_init_K,Er2_init_K,Etr1_final_K,Etr2_final_K,Er1_final_K,Er2_final_K,V_init,V_final
1.1369316044104536,5082.088923997784,1261.714742492535,776.75025087889,7625.123972555265,2544.065961038161,1262.839630953107,770.5429545803963,4578.212177240294,4578.809879806316
1.271150605405849,892.7490402631672,2291.323856929842,765.2070772182651,1328.5575743063487,454.47454875413814,2294.1670986080326,764.7643412411767,1918.8431771252008,1911.2581334420438
1.4217412305890242,5740.602204146571,169.65410318042606,254.61598547676488,8608.171845832647,2869.2220341288244,173.91436507970425,254.1072476303187,4865.791696710206,4865.019897808746
0.8163438379439278,1503.9912998421592,1109.8654996442378,1811.7601157885833,1968.2389512622399,1937.3590451703762,230.4256819138752,1793.4977871853014,2490.5625202999545,2326.312572493554
0.1547490513460737,1492.6837294508637,1188.1747278320431,464.9168124072308,143.01968524210244,1935.6225728119887,189.0720662771764,2370.659864021172,2481.182364823974,627.0859431544554
1.1126804838910942,3775.1199998492416,2385.58069669709,2827.350851331151,5660.977966227531,1895.0197010257855,2445.4758660260322,2761.626135102879,3945.846321409417,3945.253274694911
1.2329310634795903,4780.7064941938115,1455.1038837928359,784.8644488339738,7168.140448948559,2390.966969481216,1448.807523975924,793.3969418259425,4440.387046015513,4439.483127494202
0.22627376088675288,2010.613312515658,1952.8034191195613,217.30886000262828,148.72898439620894,3479.927650734297,2313.9591512327047,248.62524505313831,2879.645739259114,639.4799950064742
1.4434425537515743,1437.564570348188,378.9926959525787,2114.4507686148236,2153.348708826894,721.6542297427321,379.08500774250604,2114.4280564851542,2434.9411354898207,2433.2477970499453
0.5599678970925631,2831.7434111086263,415.6182375433657,2599.6855499590242,2099.655591731432,2673.6699542395145,29.149669541692855,3876.2242881634133,3417.4465877974317,2402.720136908679
0.643333582012672,3471.2753086704897,1734.2739034034112,618.2946964185052,2914.0331451410107,5323.19228946683,534.408937194985,523.379383942173,3783.7228336629623,2830.586299986033
0.8396585791207439,2769.03936570793,2772.631752071188,1396.95021029932,3567.7444241824887,2835.013005659654,1944.3839102876404,1360.443681186069,3379.398065979363,3132.0308040301843
0.986208753985883,2899.9670042624334,1999.231413374514,427.80105877610333,4291.334460139028,1445.5214478886448,2007.268698075285,482.76380130317017,3458.368879679166,3434.988906187238
1.0278869894468055,1628.150101121294,2052.2457540483324,2548.0084841697903,2415.1567440364647,838.2910145301928,2090.8547415538733,2512.175863934606,2591.3257253708625,2576.9252301255524
1.0538782859802833,730.2883724397685,1956.1260609428261,2821.0571686983535,1075.5276642019858,384.2163126356202,1954.2309487372436,2823.7094665364643,1735.4894550330214,1719.649546526842
0.017482040688211686,5794.928635157526,2207.9748593906265,474.0381742942444,128.31123222015216,9904.384225713196,111.5296990129384,4127.633971689625,4888.761293682163,593.9658754124831
0.720720998401941,2232.984371993043,1250.8578798169945,1340.2777613517696,2531.64971597815,2344.444444991041,705.7705306906314,1475.1554060399862,3034.7130205974286,2638.34123130223
1.2100361656780187,3179.7050673037097,2881.4843229716303,868.8761332933965,4775.202998484416,1599.345271946697,2882.524457794631,852.6276316262938,3621.3308612145306,3623.473387638027
0.9921458227428667,1169.4626936660059,1003.6791095025002,593.8188124875613,1754.5475550175045,801.7104871713269,962.2274038758102,417.85873427223,2196.1802028945176,2196.401484707657
1.1773670341306663,4095.042378121595,1561.3984716092446,1534.4751074797805,6112.090526463348,2017.2705351775137,1595.5288606842767,1560.9955740985927,4109.641955705515,4099.435387126413
1.0293812355400538,5443.274089429672,2299.5277690879325,2713.848713439821,8126.587020904447,2802.8987028788524,2328.2992136776365,2642.0656759773306,4738.107259240128,4726.974416810264
1.0346503863263512,1073.201931015868,1904.9998212141618,1437.3014161723536,1517.147092305995,620.6510887650331,1611.8788427508835,1738.953515176919,2103.8535685376505,2042.410343681672
0.21055288511459222,5753.435340921909,70.84844141647662,2995.8919610187436,777.2574355808407,9981.27211502352,3.1924470746708993,3811.829183582707,4871.22740789549,1461.8795787763083
1.4229086669897657,5556.704984593077,2677.300032145738,250.65203049205087,8333.882541132125,2778.841201450557,2677.3870357804853,251.1918552748305,4787.220771298611,4786.88334860472
1.2596996044678102,4302.8236281788195,547.7756608635524,2994.8478825538523,6453.159598015852,2154.605004367464,545.2773472712906,2995.1602310447133,4212.612951657194,4212.261840797492
1.390182761589481,2324.0775841032773,2530.3402173967265,642.1373098561302,3483.3085592343905,1164.1949356456407,2530.022743167992,643.0462566580617,3095.9939062580247,3094.7468544908347
0.3041289485188645,4509.018470717373,615.4759622914609,1802.2713782790538,1347.7544548500164,7335.041128515808,384.30744790246035,2368.581445324545,4312.367788871307,1925.0168917391
1.0520543114530123,3926.1335978754105,2871.1410079742036,589.2093272644809,5816.565113860214,1925.6369417855851,2848.2746549399267,722.0669420613709,4023.9939867667777,3999.1017472166695
0.19627825035514873,766.4473040393618,1791.782670738363,534.1362705768631,59.158979711363465,1394.339537667922,1736.4988692479292,668.7170645006279,1777.9352345099314,403.3104680249704
0.5187477350070824,3333.9024174890246,2534.553265699883,865.7923062160296,1903.7254631467106,3434.600955020325,3896.3695141916373,833.3559277527927,3708.0982117982026,2287.869855321129
0.43379466545958084,3280.5812311742825,90.11072565338118,1960.9072616782855,1426.6750501093893,6592.184451398669,19.801698527491755,573.3925469320834,3678.3257226298647,1980.5768107384934
0.16859829162035367,172.44165964805515,1178.5120846522277,2051.592820359801,3.5463076703389267,350.305576934674,1401.2376874924557,1819.8022870341329,843.3267637210064,98.74551118831907
0.32042518419748245,556.7885247344943,909.3850113083563,2700.641048799342,109.14105975882104,1063.5630204158367,688.9942722878728,2861.809001985488,1515.3743233631026,547.8015288135131
0.9483494933681679,3464.9376965075517,2451.0115796498203,831.8725633390345,5134.276858619971,2144.918361452237,2416.7566769767095,516.7310389737163,3780.2672271685233,3757.238800300719
0.8786202821247925,3220.7187593484327,2529.978615700727,2695.9339237937793,4249.788812262031,1997.2949923592205,2675.7083405440753,2744.4733582964914,3644.6110510339704,3418.320906476765
1.125811425578506,3337.2981732985513,2241.920188228812,2595.1353718500295,5009.415303182236,1673.1398712954544,2269.6507220595345,2559.372580938388,3709.9861781733457,3711.2710663432413
1.474820874864417,2039.333071145278,2877.742606432038,2754.9733201277177,3057.2238808216443,1021.3773756068883,2878.240294727809,2754.4846692356405,2900.13935869777,2899.297482136191
0.13740391211934586,4123.826907469069,1853.449046584207,2525.759713652869,607.7015279746926,4929.463221050514,3664.087439063169,3425.5661949411,4124.060238864829,1292.6302674486494
0.6435314761978584,3872.89479884989,2172.8964619688672,198.69440867895227,3319.476936587977,3910.791723376725,2754.638358798792,132.3847232397192,3996.6179662713535,3021.092234057353
0.5780968668975605,1338.1223427654518,585.1809431733371,1186.8020011967506,720.3710362457077,2381.0051855037545,58.034761707100834,1288.7158211208507,2349.2146330541477,1407.3667237079337
1.316801855608515,2805.7795853836624,95.53944122694757,847.2784384613777,4210.187502204888,1409.4884174437095,92.69794046629997,841.9398350775208,3401.7434854216585,3402.3569576122572
0.34607877946571275,2348.0220709750515,498.1101729424055,2741.5003043181387,695.842859752846,3866.6888414466475,519.7076716263863,2853.3145121905864,3111.901727425111,1383.199248500146
0.037516132834000404,3872.6181109015142,825.0879551073577,669.6322144464683,32.78463132480936,7059.805317053364,893.4888144745016,1253.7802441509252,3996.475200222424,300.2370670088378
1.044336483955579,327.4558520905423,431.7996641860831,1387.5967644872626,422.4961841590301,160.881999070122,488.37807775956725,1402.4756972982384,1162.120505646622,1077.805888944324
0.8129580136568944,2510.361687601513,2586.10984943782,529.9969325863315,3046.8170009271385,1985.1693246429415,2309.873471499623,794.8874874704509,3217.680624354399,2894.358628655533
0.7320423117763618,1704.0649448661356,245.6380271134997,1016.2004609762092,1992.684282784882,1645.0019770500683,57.173027400752574,975.0234425896679,2651.04962569833,2340.714278641859
0.5999915939565194,5340.781651069679,1765.8605483226963,2579.360020628284,4487.912532009721,6958.709742178643,1746.2856610903486,1833.7851099867526,4693.287919378314,3512.7832136270413
0.645279368985147,2175.8929093845077,1361.0125907687227,1030.4092226347595,1951.9119658158877,2449.3413005241355,173.4852671829264,2168.3748305052954,2995.667065025198,2316.64383625662
0.1978371950638135,3334.131187656345,2134.6405268040735,906.7501677534468,170.15238147714584,4845.545178071456,2078.930040172792,2614.9686370788304,3708.2254332327475,683.9875121360543
0.619864224642389,494.6154604222349,331.51420183841606,2256.334384255602,355.0293912830667,530.9699036624185,334.57078875137347,2356.4180382403997,1428.2644607007874,988.0099326118296
0.3992605846088109,3035.4657556757534,1912.2334843310728,727.439262551288,1362.8212801067928,4120.109504336264,556.9988272377177,2670.579744719315,3538.2413624503492,1935.7470669745699
0.753313484254734,1536.7547999850883,485.8125428724178,2463.666647529844,1765.5869681765255,2083.6767871310158,467.1499696376933,1706.4920202402739,2517.5440335640856,2203.3004037724777
0.08178398251568608,5872.293664388881,2176.9851635229747,1451.5852299733274,80.73493446892022,10728.934610931257,674.405428153979,3889.0403343497737,4921.286730139607,471.1507700594758
1.3352078298038252,3741.134712352718,1369.4616593881788,2134.214277923759,5611.03530069412,1873.4813340619396,1372.5847961023692,2128.7810634672564,3928.045046715501,3927.811679738554
0.20621702938084674,5490.493538073858,1668.2104087902405,1449.0674634986465,283.45921311362054,9500.440752803943,2577.948056898252,1736.3276874622597,4758.614007158162,882.8246386147566
1.4259503468451662,633.0051401891623,449.91315898795636,2218.1111120288388,939.8453650586714,326.15014194255065,449.66640025593335,2218.313863932218,1615.7657744800508,1607.5236045045
0.839633870998357,5798.92320934717,1421.015664631931,1569.8384262876455,7966.321014084154,5911.833058997991,352.8943599655485,357.54102770616134,4890.445969776572,4680.131525373475
0.8845296756024807,351.1377101372036,57.93243404155945,1542.3784178768085,431.9713682068517,320.7100062904618,10.199512955649066,1539.6235154534972,1203.4097410403,1089.8246776844906
