b,Etr_init_K,Er1_init_K,Er2_init_K,Etr1_final_K,Etr2_final_K,Er1_final_K,Er2_final_K,V1_init,V1_final,V2_init,V2_final
1.1369316044104536,5082.088923997784,1261.714742492535,776.75025087889,2543.9834101256906,5084.287322896747,1262.7997443259137,770.4575810557171,4578.212177240294,4580.858970720916,4578.212177240294,4579.2022866766
1.271150605405849,892.7490402631672,2291.323856929842,765.2070772182651,451.8481456676802,884.563349574253,2294.486760840426,764.6907486776464,1918.8431771252008,1930.5721472541597,1918.8431771252008,1910.0259021320717
1.4217412305890242,5740.602204146571,169.65410318042606,254.61598547676488,2869.0226893368617,5738.079841647995,173.9137469226137,254.09809620365246,4865.791696710206,4864.7079806379215,4865.791696710206,4864.722589450085
0.8163438379439278,1503.9912998421592,1109.8654996442378,1811.7601157885833,1685.0491224635878,1492.2342663811505,238.95076802955768,1761.292686427188,2490.5625202999545,3728.1730870752663,2490.5625202999545,2480.8087813975235
0.1547490513460737,1492.6837294508637,1188.1747278320431,464.9168124072308,1469.6110336114834,136.31731718685774,97.93083223219362,2188.1695200400154,2481.182364823974,3481.6971023079946,2481.182364823974,749.8083999186844
1.1126804838910942,3775.1199998492416,2385.58069669709,2827.350851331151,1894.1038419346544,3774.7562766071246,2444.8735305397713,2761.805998065451,3945.846321409417,3952.6801848121463,3945.846321409417,3945.656230685412
1.2329310634795903,4780.7064941938115,1455.1038837928359,784.8644488339738,2390.497323775237,4778.206698170766,1448.7464004295177,793.508225137134,4440.387046015513,4440.5208644327195,4440.387046015513,4439.225971464458
0.22627376088675288,2010.613312515658,1952.8034191195613,217.30886000262828,2383.3294528999254,241.25480678190323,2201.4467620926434,359.9045154182555,2879.645739259114,4433.858448320834,2879.645739259114,997.4997000451459
1.4434425537515743,1437.564570348188,378.9926959525787,2114.4507686148236,720.9665510906335,1435.2597069974618,379.0804977341406,2114.4269546367195,2434.9411354898207,2438.638029948024,2434.9411354898207,2432.98836827723
0.5599678970925631,2831.7434111086263,415.6182375433657,2599.6855499590242,1962.7802718790008,1388.2258393797192,26.43540034488203,3885.3825637588134,3417.4465877974317,4023.7003071943345,3417.4465877974317,2392.791449698658
0.643333582012672,3471.2753086704897,1734.2739034034112,618.2946964185052,4371.041058542715,2376.0090622584976,384.7415376953184,427.5839893482256,3783.7228336629623,6004.574354739905,3783.7228336629623,3130.392775630901
0.8396585791207439,2769.03936570793,2772.631752071188,1396.95021029932,2415.952685726118,2531.078402790235,2138.7074568636926,1237.3268778540353,3379.398065979363,4464.1008410854465,3379.398065979363,3230.9302709698
0.986208753985883,2899.9670042624334,1999.231413374514,427.80105877610333,1435.132101238523,2847.7040096358382,2006.290233539811,487.7785003074106,3458.368879679166,3440.6121887127865,3458.368879679166,3427.0639583384364
1.0278869894468055,1628.150101121294,2052.2457540483324,2548.0084841697903,831.1748479932633,1609.2675124737268,2091.744871509714,2510.2161010100126,2591.3257253708625,2618.399928320449,2591.3257253708625,2576.25535919297
