Etr,Erot1_in,Erot2_in,Etr_out,Erot1_out,Erot2_out
4.9227155327805216e-21,1.1998398656717164e-21,2.45723933570872e-21,3.041140147460443e-21,1.2518058570742085e-22,5.413268116414084e-21
2.814749469504293e-21,4.1805519164419144e-21,4.1545850697302055e-21,3.0710728186008516e-21,6.250513037893843e-21,1.8282115359386365e-21
5.890179547994909e-21,2.7682539251179754e-21,7.408881085752702e-21,1.209533641920923e-20,3.3081174967340615e-21,6.647090750661204e-22
3.648787257805683e-21,2.964766054723873e-21,5.495017551060212e-21,5.212457202314484e-21,5.533778315465912e-21,1.3621563403377437e-21
8.1352000454684515e-22,6.84112395437665e-22,4.242835259827513e-21,1.6822900045643572e-21,2.6934300457917455e-21,1.3650808632150667e-21
1.03768788712911e-21,3.631615247411069e-23,6.0818951464926735e-22,1.3978427232702991e-21,2.2061311571497833e-22,6.414249781619522e-23
8.644881561950244e-21,2.6398256172979316e-20,1.216969334262798e-21,1.5146704300229216e-20,1.8886448946108276e-20,2.2278676438480803e-21
2.7525078302210242e-21,2.2744019075128743e-21,3.9341806957183016e-21,2.5895612084648833e-21,6.035047194410756e-23,6.311139501356311e-21
6.044891102899605e-21,7.162034230849193e-21,9.418324255423505e-21,6.580744268764927e-21,1.1325948684332705e-20,4.719232308013033e-21
6.574545256093889e-21,2.500368857560442e-21,4.669983195140387e-22,7.601705418876755e-21,3.885883344206931e-23,1.9019232610644348e-21
4.891513683890108e-22,1.772714292437975e-22,5.233279751316773e-21,1.840748115527708e-21,2.1245399005355883e-21,1.9335329392738003e-21
8.173221011882708e-21,6.081286795203795e-21,1.3515530242241137e-21,1.3093031251376841e-20,2.157025035503975e-21,3.553734327328237e-22
2.7977649772481333e-21,4.377823641091283e-21,3.344287868476688e-22,3.70986952247285e-21,3.3417151845197584e-22,3.466363983937389e-21
6.3748390715118384e-21,1.5142098079236527e-21,2.629413221452445e-21,9.858651208450892e-21,6.001316361196253e-22,6.033914098540352e-23
1.3170132209760822e-21,7.548580343282808e-22,6.001348342674341e-23,2.0026554031850868e-21,5.2909012162499715e-23,7.76314805595147e-23
2.4821917482699003e-21,5.40794921614018e-21,2.927201676216981e-23,3.038270483842207e-21,3.679833185838846e-21,1.2013198500077065e-21
1.0332764292507168e-21,4.402052094425989e-21,1.5012989435428018e-21,5.699663696805813e-21,5.90191737345282e-22,6.4691099235845995e-22
7.59882268518677e-21,1.4299028221065734e-20,4.844443049449952e-21,1.1934706727562336e-20,6.620052629140835e-21,8.18653388406548e-21
9.084868955342746e-22,3.6181230343452304e-21,7.794865297246786e-21,1.9963238975861584e-21,6.129241818240456e-21,4.1953549805923545e-21
2.0264108486242976e-20,3.164976623715353e-22,1.0801858434550459e-21,1.229975184547933e-20,3.0307473088590184e-21,6.3308384256058e-21
2.8215590295659982e-21,8.199010186986364e-22,6.172913502277771e-21,3.2079506851813184e-21,4.1130561278113684e-21,2.4926086061553055e-21
1.2330556119610852e-21,1.438971230693186e-20,3.587872873439536e-21,8.40886516075455e-21,8.963044546542374e-21,1.8388552392900955e-21
1.354793646674855e-21,1.7768194195563988e-21,2.117685821616562e-21,3.9739140454431414e-21,4.772904521501322e-22,7.981448769211246e-22
5.128649565118973e-21,5.680839133616382e-22,1.4867541098804527e-21,3.1197274989770535e-21,2.1905012003443057e-21,1.871832604373865e-21
1.5811077125177946e-21,5.809869052396099e-21,2.205287151289109e-21,8.463760205270201e-21,2.121693937960215e-22,9.205106509532154e-22
3.099135331581607e-21,2.9945759781922246e-23,1.959134739806869e-21,4.409530760190973e-21,1.2410691550441142e-22,5.560198544566405e-22
5.143111257943377e-22,2.661510872816487e-23,2.9311509515938356e-21,5.507338879631511e-22,2.5246837554022146e-21,3.9731253126295183e-22
3.368363231247977e-21,3.407664717045977e-21,8.176415393369199e-22,4.593766797355014e-21,4.422870380500225e-22,2.557873475840494e-21
1.1758309216280384e-20,3.7391293656759467e-22,2.8603141088792898e-21,7.478667978206379e-21,1.2638823633602792e-21,6.250096916364585e-21
2.0947220119799598e-21,1.9081118766992714e-21,5.995412986478687e-21,4.868605085884502e-21,3.1354114198089567e-21,1.994525875243826e-21
1.3385243267505736e-21,2.86120626762318e-21,6.709813363825906e-21,5.1892632799901945e-21,3.5125037604871466e-21,2.2078145129646324e-21
5.634441395936541e-21,1.872272454662956e-21,1.446754281886007e-21,3.406210168241825e-21,6.943227050162062e-22,4.852531394347004e-21
1.552162495890908e-21,3.0767944184440648e-21,6.603563367898607e-21,3.499796154226629e-21,4.702554740798154e-22,7.262434207333405e-21
1.1675500425582495e-20,4.86362377211353e-21,1.2738866450343682e-22,1.3319225787464625e-20,8.279035822628922e-22,2.519282694690715e-21
7.492828921515701e-21,2.579437381952373e-21,6.797066399425694e-21,9.501412834226603e-21,5.310261720636657e-21,2.0588426857930285e-21
4.642336139713399e-21,4.608961990558124e-21,7.221169735118041e-21,7.129501094629596e-21,6.491408603630019e-21,2.8524530251781782e-21
1.4893613599380168e-21,1.0726816687000973e-20,1.65365350586906e-20,6.31148664069666e-21,1.2561128946596585e-20,9.879399473916196e-21
7.305749126634246e-21,3.3586001731666703e-21,5.486222887667358e-21,8.303432516860729e-21,6.271789222317761e-21,1.5750673250852059e-21
2.705912188833381e-21,4.5212282182123e-23,1.0938911781040496e-21,1.338085096404707e-21,1.7661236717812671e-22,2.3295624196530088e-21
1.8598757784433946e-20,1.4118066439398097e-20,1.398668458266006e-20,2.071277144980042e-20,2.8631176109171588e-21,2.3126186230332067e-20
1.2769885441140067e-20,7.132058366830941e-21,4.946188409025896e-21,1.9849569057449394e-20,6.102311549660527e-22,4.387887202133857e-21
1.7410149392597402e-21,1.1581127413852944e-21,1.2296151724839424e-22,5.184065020378341e-22,1.8846299326218472e-21,6.190127834371635e-22
2.3686826179123995e-21,4.693452412101292e-21,6.925229104166427e-21,6.593240203398136e-21,1.4722754828177555e-21,5.922200436399735e-21
4.568518309221814e-21,7.848183145018915e-21,2.4733982293434837e-21,9.122009054616678e-21,4.264679690184412e-21,1.505316676917718e-21
1.204208109041324e-20,4.641577492070872e-21,4.529566425167392e-21,1.6961275383985302e-20,2.0966359357528693e-22,4.042954563406648e-21
1.6217614195280321e-21,7.180706001842871e-22,1.0074437088650523e-21,3.1159613697757784e-21,2.0703011644277354e-22,2.427284410964498e-23
8.549852229194978e-21,1.6660944512231147e-21,8.534198974179198e-21,9.924407277642261e-21,4.2199815206778056e-21,4.605070561768385e-21
6.472728251683545e-21,3.6717471028684186e-22,3.0386295712487198e-21,8.92730073010691e-21,4.982262307906542e-24,9.459648999237733e-22
3.567391515597045e-21,1.8467647096278683e-21,2.795735468836626e-21,3.9757056829842886e-21,3.829420047222438e-21,4.056830479586193e-22
1.199837578592961e-20,1.3061800310988346e-20,1.1303567889415048e-20,3.0710125559012433e-20,4.448113663914071e-22,5.208679194253061e-21
7.461619512659292e-21,3.3180906192498977e-22,2.7998167976057733e-21,9.665197720608541e-21,2.7097974934211155e-22,6.5541589071271435e-22
1.725935421322493e-20,1.7277613006369962e-21,2.635372136133248e-21,1.3431727972061835e-20,7.105547811524775e-21,1.0856822014346117e-21
1.9071718038872083e-21,1.7113197383147084e-21,1.5087235157418882e-21,1.4264562437137463e-21,3.3119304249648566e-21,3.8950797689434606e-22
1.0517395280431691e-21,6.869734753186028e-21,3.5339920353850035e-22,2.761302573676906e-21,3.744878289329996e-21,1.7692982799221214e-21
3.7923803190375595e-21,3.501143044935949e-21,4.672338929603635e-21,8.500288268671632e-21,1.294832783865648e-21,2.1704662433662166e-21
